match_date,team_1,team_2,venue,winner,top_scorer,top_scorer_runs
11/04/2026,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Chennai Super Kings,Anshul Kamboj,41
03/04/2026,Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,Punjab Kings,Vijaykumar Vyshak,73
10/05/2026,Chennai Super Kings,Lucknow Super Giants,MA Chidambaram Stadium,Chennai Super Kings,Shahbaz Ahmed,65
05/04/2026,Chennai Super Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Anshul Kamboj,28
23/04/2026,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,Table Match Conditions,20
14/04/2026,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai Super Kings,Kartik Tyagi,48
15/05/2026,Chennai Super Kings,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Shahbaz Ahmed,71
18/04/2026,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Anshul Kamboj,59
18/05/2026,Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,Sunrisers Hyderabad,Anshul Kamboj,70
02/05/2026,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,Chennai Super Kings,Noor Ahmad,37
